DATE,LTOTALNSA
7/1/2016,1517.483
8/1/2016,1507.192
9/1/2016,1430.893
10/1/2016,1368.476
11/1/2016,1371.003
12/1/2016,1683.262
1/1/2017,1139.486
2/1/2017,1325.195
3/1/2017,1548.831
4/1/2017,1418.963
5/1/2017,1510.577
6/1/2017,1466.048
7/1/2017,1409.703
8/1/2017,1474.998
9/1/2017,1518.196
10/1/2017,1350.296
11/1/2017,1390.337
12/1/2017,1597.455
1/1/2018,1151.908
2/1/2018,1294.694
3/1/2018,1647.975
4/1/2018,1354.484
5/1/2018,1587.518
6/1/2018,1544.695
7/1/2018,1363.887
8/1/2018,1483.169
9/1/2018,1432.993
10/1/2018,1361.288
11/1/2018,1383.388
12/1/2018,1618.949
1/1/2019,1133.666
2/1/2019,1252.156
3/1/2019,1599.488
4/1/2019,1327.238
5/1/2019,1582.162
6/1/2019,1510.42
7/1/2019,1397.004
8/1/2019,1639.332
9/1/2019,1267.674
10/1/2019,1334.849
11/1/2019,1404.031
12/1/2019,1513.042
1/1/2020,1136.56
2/1/2020,1350.57
3/1/2020,989.954
4/1/2020,715.322
5/1/2020,1119.089
6/1/2020,1100.985
7/1/2020,1236.643
8/1/2020,1318.07
9/1/2020,1341.099
10/1/2020,1358.922
11/1/2020,1199.137
12/1/2020,1605.497
1/1/2021,1106.286
2/1/2021,1193.776
3/1/2021,1597.152
4/1/2021,1518.415
5/1/2021,1570.313
6/1/2021,1302.213
7/1/2021,1280.803
8/1/2021,1092.661
9/1/2021,1015.935
10/1/2021,1051.015
11/1/2021,1014.411
12/1/2021,1203.943
1/1/2022,991.573
2/1/2022,1045.563
3/1/2022,1257.882
4/1/2022,1236.432
5/1/2022,1108.063
6/1/2022,1143.82
7/1/2022,1126.523
8/1/2022,1134.265
9/1/2022,1124.297
10/1/2022,1181.54
11/1/2022,1135.484
12/1/2022,1268.897
1/1/2023,1046.919
2/1/2023,1138.756
3/1/2023,1374.992
4/1/2023,1357.844
5/1/2023,1363.818
6/1/2023,1368.713
7/1/2023,1299.271
8/1/2023,1318.588
9/1/2023,1340.98
10/1/2023,1198.662
11/1/2023,1235.083
12/1/2023,1458.853
1/1/2024,1069.957
2/1/2024,1228.442
3/1/2024,1431.476
4/1/2024,1318.891
5/1/2024,1432.534
6/1/2024,1310.334
7/1/2024,1286.76
8/1/2024,1413.717
9/1/2024,1173.315
10/1/2024,1326.706
11/1/2024,1365.329
12/1/2024,1493.957
1/1/2025,1106.117
2/1/2025,1215.074
3/1/2025,1593.017
4/1/2025,1463.622
5/1/2025,1461.067
6/1/2025,1272.469
7/1/2025,1389.685
8/1/2025,1466.105
9/1/2025,1266.026
10/1/2025,1286.826
11/1/2025,1279.64
12/1/2025,1459.601
1/1/2026,1104.418
2/1/2026,1197.916
3/1/2026,1403.623
